Month,Monthly milk production: pounds per cow. Jan 62 ? Dec 75
1962-01-01,589
1962-01-02,561
1962-01-03,640
1962-01-04,656
1962-01-05,727
1962-01-06,697
1962-01-07,640
1962-01-08,599
1962-01-09,568
1962-01-10,577
1962-01-11,553
1962-01-12,582
1963-01-01,600
1963-01-02,566
1963-01-03,653
1963-01-04,673
1963-01-05,742
1963-01-06,716
1963-01-07,660
1963-01-08,617
1963-01-09,583
1963-01-10,587
1963-01-11,565
1963-01-12,598
1964-01-01,628
1964-01-02,618
1964-01-03,688
1964-01-04,705
1964-01-05,770
1964-01-06,736
1964-01-07,678
1964-01-08,639
1964-01-09,604
1964-01-10,611
1964-01-11,594
1964-01-12,634
1965-01-01,658
1965-01-02,622
1965-01-03,709
1965-01-04,722
1965-01-05,782
1965-01-06,756
1965-01-07,702
1965-01-08,653
1965-01-09,615
1965-01-10,621
1965-01-11,602
1965-01-12,635
1966-01-01,677
1966-01-02,635
1966-01-03,736
1966-01-04,755
1966-01-05,811
1966-01-06,798
1966-01-07,735
1966-01-08,697
1966-01-09,661
1966-01-10,667
1966-01-11,645
1966-01-12,688
1967-01-01,713
1967-01-02,667
1967-01-03,762
1967-01-04,784
1967-01-05,837
1967-01-06,817
1967-01-07,767
1967-01-08,722
1967-01-09,681
1967-01-10,687
1967-01-11,660
1967-01-12,698
1968-01-01,717
1968-01-02,696
1968-01-03,775
1968-01-04,796
1968-01-05,858
1968-01-06,826
1968-01-07,783
1968-01-08,740
1968-01-09,701
1968-01-10,706
1968-01-11,677
1968-01-12,711
1969-01-01,734
1969-01-02,690
1969-01-03,785
1969-01-04,805
1969-01-05,871
1969-01-06,845
1969-01-07,801
1969-01-08,764
1969-01-09,725
1969-01-10,723
1969-01-11,690
1969-01-12,734
1970-01-01,750
1970-01-02,707
1970-01-03,807
1970-01-04,824
1970-01-05,886
1970-01-06,859
1970-01-07,819
1970-01-08,783
1970-01-09,740
1970-01-10,747
1970-01-11,711
1970-01-12,751
1971-01-01,804
1971-01-02,756
1971-01-03,860
1971-01-04,878
1971-01-05,942
1971-01-06,913
1971-01-07,869
1971-01-08,834
1971-01-09,790
1971-01-10,800
1971-01-11,763
1971-01-12,800
1972-01-01,826
1972-01-02,799
1972-01-03,890
1972-01-04,900
1972-01-05,961
1972-01-06,935
1972-01-07,894
1972-01-08,855
1972-01-09,809
1972-01-10,810
1972-01-11,766
1972-01-12,805
1973-01-01,821
1973-01-02,773
1973-01-03,883
1973-01-04,898
1973-01-05,957
1973-01-06,924
1973-01-07,881
1973-01-08,837
1973-01-09,784
1973-01-10,791
1973-01-11,760
1973-01-12,802
1974-01-01,828
1974-01-02,778
1974-01-03,889
1974-01-04,902
1974-01-05,969
1974-01-06,947
1974-01-07,908
1974-01-08,867
1974-01-09,815
1974-01-10,812
1974-01-11,773
1974-01-12,813
1975-01-01,834
1975-01-02,782
1975-01-03,892
1975-01-04,903
1975-01-05,966
1975-01-06,937
1975-01-07,896
1975-01-08,858
1975-01-09,817
1975-01-10,827
1975-01-11,797
1975-01-12,843
